
romney plan gun control two parent household okay,-1,-1
romney totally confused causality say government doe not create job yet claim policy create job,-1,-1
fucking hate mitt romney face mother fucker constantly got geeky smirk id love smack right,-1,-1
romney plan immigrant make miserable beg self deport current,-1,0
romney said sat cross table people lost job thats fired current,-1,-1
romney confused hell answer gun control,-1,-1
everytime romney give little sarcastic smirk want go amp mortal kombat uppercut getoverhere flawlessvictory,-1,0
concerned gridlocked congress governor romney choose paul ryan running mate debate,-1,-1
absolutely love romney view immigration,-1,0
mitt romney want talk helping middle classsmh,-1,-1
romney making totally go along green card stapled diploma huh,-1,1
dont worry mitt romney dont win election always get job new villain next james bond movie,-1,-1
romney basically said someone another country qualified job send and give job wow,-1,-1
im little confused romney actual view seems keep changing,-1,0
romney really say wa good woman cabinet flexible schedule could go home and cook dinner dude,-1,-1
mitt beating record credibility character,1,-1
already employment verification process placeits called everify romney damn liar,-1,-1
hope latino and latina sister and brother listening romney said immigration reform,-1,-1
military service mitt wouldnt know anything hidinginfranceduringvietnam bromce,-1,-1
dont think mitt romney ha answered one question instead try complain something else obama irrelevant teamobama,-1,-1
dare romney say go army refuse,-1,1
obama win smirk and little girl smile romney win fact and acting presidential ocra tcot,-1,1
romney digging grave latino vote least one realize immigrant keep going please sir,-1,1
doe romney not know long take get green card,-1,-1
mitt romney policy immigration suck though,-1,-1
romney looking desperate time and petulant could trust joker know poor and working hard,-1,-1
actually like romney response immigration,1,-1
immigration statement romney answered wa wa enough get vote,1,1
dude romney sad lol sad doesnt even sound like someone trusted,-1,0
im hard worker idgaf doe not make anything romney say right true nothing liar and not help u,-1,-1
romney wrong immigration lying teeth,-1,-1
dude romney killing,-1,-1
permanent resident not citizenship romney admitted dream act clear difference two,-1,-1
would force innocent child brought u adult illegally military become citizen mitt romney crazy,-1,0
mitt want make immigrant child serve military gain citizenship cant even handle debate really,-1,-1
hate romney,-1,-1
romney great massachusetts population food stamp,-1,-1
romney want foster brain drain attaching green card diploma around world wha debate,-1,-1
romney know contridicted doesnt,-1,-1
romney fucking annoying,-1,-1
mitt romney never answer question directly youd ask dude color sky hed reply ive always loved color,-1,-1
romney white man know dont answer fucking question instead tell life story whogivesafuck nobody,-1,-1
romney lied many thing tonight even mediator correct smh,-1,-1
randomly stopped homework watch debate angry romney fake,-1,0
thing bother romney voter middle class doe not give fuck rich,-1,-1
romney saying support parent family good and sometimes shit doesnt work and grew perfectly fine parent,-1,-1
mitt romney doesnt deserve win wife ugly,-1,1
mitt romney creepy son look like walking restraining order hofstradebate,-1,-1
mitt please put diaper mouth youre spewing shit floor,-1,-1
something romney smilesmirk make wanna punch face,-1,-1
fuck kinda name mitt anyway,-1,-1
romney got called lie first time privileged life looked totally shocked,-1,0
even people support romney dont even fucking know wa talking,-1,-1
man romney tearing dude economics,1,-1
romney le prove given last debate didnt back inch president,1,0
mitt romney look like dude elevator act like doesnt see coming and let fuckin door close,-1,0
love romney bleated government doesnt create job promising create million job year,-1,-1
dont hate romney not specific never said wa going anything ha planned thats argument,-1,-1
mitt romney want two parent home long opposite gender homophobe,-1,0
romney couldntdidnt even answer would pay trillion tax cut debate,-1,-1
mitt romney career mirage,-1,-1
romney come dumbass love plan small and large business owner and ha great idea american manufacturing,1,0
romney walking lie would leave work vote turd,-1,-1
believe gov romney good man think behind big desk oval office charge country naaah,-1,-1
romney wife bout give nightmare shescaryyy,-1,0
government doesnt create job perhaps romney help staying government,-1,-1
great closing romney summed well debate,1,-1
mitt utter disrespect potus telling youll get turn might well talking hired help disgraceful,-1,-1
one biggest pet peeve politician bring religion campaign not everyone christian romney,-1,0
agree messina mitt romney wa exposed emptiness plan,-1,0
romney couldnt answer would implement plan,-1,-1
romney probably talented business man im not convinced man job,-1,0
ready romney become president lol,1,0
mitt lying supporting dream act p debate,-1,-1
romney saying started small business amp built way bitch born silver spoon parent money stfu,-1,1
romney look like type nigga thatll push close elevator button knowing running get,-1,-1
thing romney ha done better tonight embrace fact voter would rather hear cliche fact,-1,-1
lmfao wont give greencards goodbye romney fucked,-1,-1
romney identifies latino,-1,-1
get trampling constitution mitt please,1,-1
mitt romney gifted speaking lot word not saying damb thing debate,-1,0
mitt romney act like get elected everything would fixed within second,-1,-1
driver licence work uuuuuh romney like,-1,-1
romney favour immigration opposes samesex couple together european civil marriage u obama,-1,-1
romney full bullshit know not gunna half shit saying boy bye,-1,-1
im little confused romney actual view seems keep changing,-1,0
romney looked right mean lying mclanetaughtmewell,-1,-1
fuck mitt romney gonna tale sister away u and daughter goobama,-1,-1
question mitt would immigrant productive member society said go,-1,0
go romney im tired immigration shit,1,-1
hispanic mitt want army iran aint gonna invade,-1,-1
ok far romney ha endorsed obamacare and dream act going well debate,-1,-1
mitt im gonna kick family and friend fuck outta lady next question debate,-1,-1
romney take seat preferably house gohome,-1,-1
u land opportunity hmph not romney elected,-1,-1
wow fuck romney not giving immigrant chance live right u,0,-1
mitt romney fool,-1,-1
romney doesnt give hot sack dog piss immigrant,-1,-1
something shady abt romney dont like confused inconsistent and talk damn much gosh teamobama,-1,0
latina immigration question romney blathering unschooled immigration,-1,-1
yeah im done watching debate already know im voting and aint nothing mitt romney say persuade,-1,1
man binder full woman mitt seemed condescening lorraine debate,-1,-1
romney lost hispanicvotes debate,-1,-1
romney keep talking president filing bill president cant congresspersons debate,-1,1
romney never answer question like specifically going go thing youre promising ill wait,-1,-1
mitt romney lying u vote tuition going sky rocket and u not able afford skool unless athlete or rich,-1,-1
romney diploma come and take collegelevel job keep talking debate,-1,-1
romney stupid plan stopping bunch illegal immigrant nigga straight kill dont play,-1,-1
romney shit people crazy,1,-1
romney lost foreign born vote please keep talking mitt,-1,-1
romney make debate boring,-1,-1
wow aint shit way come country become apart military romney really,-1,-1
dont vote romney cause get pregnant and die,-1,-1
romney beast idea and policy great immigrant green card or deported and crack,1,0
romney sit irrelevant kay,-1,-1
way stick gun illegal immigration romney country need president care securing border debate,1,-1
debate romney well immigration answer anchor baby getting path citizenship good one,1,-1
romney say wanted create military force child illegal immigrant seriously,-1,0
romney deport totalbiscuit,0,-1
romney solidified claim ill voting take immigration romney,1,-1
really sudden u care thing u say u dont care aboutthis dude romney confused slyness doesnt fool,-1,-1
well umm gonna get choose plantation romney president or gonna separate u family and shit,-1,-1
romney time stop talking,-1,-1
romney badly fumbled woman job question calling housewife work oouucchhh lol,-1,0
heard house romney speaking lie lie lie expletive deleted lie,-1,-1
cant stand romney inconsistent biggest pet peeve,-1,-1
romney want pa dreamact one thing ha said loving tonight debate,1,-1
and romney lost people saying wont give break illegal immigrant,-1,-1
romney become president going back plantation,-1,1
wtf fuck romney people wouldnt come illegally didnt make hard people live asshole,-1,-1
many mitt domestic household help not legal immigrant presidentialdebate,-1,0
